OrthoGroup	t	S	N	dNdS	dN	dS
OG0007123	0	54.9	179.1	1	0	0
OG0007125	0.016	160.9	412.1	1	0.0053	0.0053
OG0007126	0.0448	438.2	1010.8	1	0.0149	0.0149
OG0007127	0.024	119.8	387.2	1	0.008	0.008
OG0007128	0.4957	115.5	256.5	1	0.1652	0.1652
OG0007129	0.0229	153.9	383.1	1	0.0076	0.0076
OG0007130	0.0651	175.1	439.9	1	0.0217	0.0217
OG0007131	0.1297	79.7	190.3	1	0.0432	0.0432
OG0007132	0.0753	106.1	220.9	1	0.0251	0.0251
OG0007133	0.0237	153.4	365.6	1	0.0079	0.0079
OG0007134	0.0491	138.2	359.8	1	0.0164	0.0164
OG0007135	0.032	151.4	331.6	1	0.0107	0.0107
OG0007136	0.0251	193.6	649.4	1	0.0084	0.0084
OG0007137	0.007	212.4	648.6	1	0.0023	0.0023
OG0007139	0.0557	244.9	745.1	1	0.0186	0.0186
OG0007140	0.0475	362.9	807.1	1	0.0158	0.0158
OG0007141	0.0239	140.5	495.5	1	0.008	0.008
OG0007142	0.0368	202.1	466.9	1	0.0123	0.0123
OG0007143	0.0471	193.3	589.7	1	0.0157	0.0157
OG0007144	0	87.1	281.9	1	0	0
OG0007145	0.0125	198.9	527.1	1	0.0042	0.0042
OG0007146	0.0442	364.5	1021.5	1	0.0147	0.0147
OG0007147	0.0396	239.8	915.2	1	0.0132	0.0132
OG0007148	0.0581	147.8	326.2	1	0.0194	0.0194
OG0007149	0.0279	431.3	1107.7	1	0.0093	0.0093
OG0007150	0.0315	111.3	275.7	1	0.0105	0.0105
OG0007151	0.2356	53.6	150.4	1	0.0785	0.0785
OG0007152	0.0342	260.9	630.1	1	0.0114	0.0114
OG0007153	0.02	123.3	335.7	1	0.0067	0.0067
OG0007154	0.0624	134.2	408.8	1	0.0208	0.0208
OG0007156	0.1447	91.4	364.6	1	0.0482	0.0482
OG0007157	0.013	297.4	641.6	1	0.0043	0.0043
OG0007158	1.6797	48.1	146.9	1	0.5599	0.5599
OG0007159	0.0292	166.2	361.8	1	0.0097	0.0097
OG0007160	0.0264	181.4	394.6	1	0.0088	0.0088
OG0007161	0.021	418.6	1024.4	1	0.007	0.007
OG0007162	0.0448	198.6	827.4	1	0.0149	0.0149
OG0007163	0.0138	706.4	1705.6	1	0.0046	0.0046
OG0007164	0.1399	196.9	508.1	1	0.0466	0.0466
OG0007165	0.007	372.4	938.6	1	0.0023	0.0023
OG0007166	0.0689	152.3	471.7	1	0.023	0.023
OG0007167	0.0237	171.5	350.5	1	0.0079	0.0079
OG0007168	0.0338	254.2	648.8	1	0.0113	0.0113
OG0007169	0.1002	112.8	202.2	1	0.0334	0.0334
OG0007170	0.0406	116.5	261.5	1	0.0135	0.0135
OG0007171	0.0308	82.4	217.6	1	0.0103	0.0103
OG0007172	0.0447	178.7	502.3	1	0.0149	0.0149
OG0007173	0.055	152.2	351.8	1	0.0183	0.0183
OG0007174	2.1978	75.5	233.5	1	0.7326	0.7326
OG0007176	0.0581	220.8	520.2	1	0.0194	0.0194
OG0007177	3.3706	117.7	431.3	1	1.1235	1.1235
OG0007178	0.2387	76.5	271.5	1	0.0796	0.0796
OG0007179	0.0199	168	447	1	0.0066	0.0066
OG0007180	0.0464	110.9	282.1	1	0.0155	0.0155
OG0007181	0.0403	293	691	1	0.0134	0.0134
OG0007182	0.014	996.6	2261.4	1	0.0047	0.0047
OG0007183	0.0347	139.1	307.9	1	0.0116	0.0116
OG0007184	0.0426	276.4	596.6	1	0.0142	0.0142
OG0007185	0.0445	343.8	1033.2	1	0.0148	0.0148
OG0007186	0.0395	127	494	1	0.0132	0.0132
OG0007187	0.0599	201.7	617.3	1	0.02	0.02
OG0007188	0.0294	89.4	222.6	1	0.0098	0.0098
OG0007189	0.0206	145.8	442.2	1	0.0069	0.0069
OG0007190	0.0241	42.8	80.2	1	0.008	0.008
OG0007192	0.3502	209.1	636.9	1	0.1167	0.1167
OG0007193	0.0437	130.8	358.2	1	0.0146	0.0146
OG0007194	0.0904	106.3	274.7	1	0.0301	0.0301
OG0007195	0.0978	162.4	350.6	1	0.0326	0.0326
OG0007196	0.0177	264.5	953.5	1	0.0059	0.0059
OG0007197	0.0802	203	385	1	0.0267	0.0267
OG0007202	0.0474	146.7	309.3	1	0.0158	0.0158
OG0007203	0.0709	168	402	1	0.0236	0.0236
OG0007205	0.0307	133.5	364.5	1	0.0102	0.0102
OG0007206	0.0546	100.6	292.4	1	0.0182	0.0182
OG0007207	0	94.1	301.9	1	0	0
OG0007208	0.0508	130.3	241.7	1	0.0169	0.0169
OG0007209	0.0469	584.3	1515.7	1	0.0156	0.0156
OG0007210	0.0102	200.8	693.2	1	0.0034	0.0034
OG0007211	0.0371	207.6	623.4	1	0.0124	0.0124
OG0007212	0.0171	107.5	246.5	1	0.0057	0.0057
OG0007213	0.0393	139.3	247.7	1	0.0131	0.0131
OG0007214	0.0279	116.8	219.2	1	0.0093	0.0093
OG0007216	0.0161	245.3	699.7	1	0.0054	0.0054
OG0007217	0.0498	242.7	627.3	1	0.0166	0.0166
OG0007218	0.0063	165.5	317.5	1	0.0021	0.0021
OG0007219	0.0369	125.5	453.5	1	0.0123	0.0123
OG0007220	0.0442	38.8	168.2	1	0.0147	0.0147
OG0007221	0.0413	152.2	444.8	1	0.0138	0.0138
OG0007222	0.009	441.9	1571.1	1	0.003	0.003
OG0007223	2.3069	127.6	472.4	1	0.769	0.769
OG0007225	0.0867	204.9	578.1	1	0.0289	0.0289
OG0007226	0.3211	99.1	245.9	1	0.107	0.107
OG0007227	0.2906	227.9	732.1	1	0.0969	0.0969
OG0007228	0.0245	101.4	276.6	1	0.0082	0.0082
OG0007230	0.0238	254.7	768.3	1	0.0079	0.0079
OG0007232	0.3996	151.1	439.9	1	0.1332	0.1332
OG0007233	0.0572	137.5	399.5	1	0.0191	0.0191
OG0007234	0.0197	133.1	331.9	1	0.0066	0.0066
OG0007235	0.02	157.2	292.8	1	0.0067	0.0067
OG0007236	0.0415	151.5	508.5	1	0.0138	0.0138
OG0007237	0.0249	114.1	254.9	1	0.0083	0.0083
OG0007238	0.0214	175.7	400.3	1	0.0071	0.0071
OG0007239	0.1105	123.1	503.9	1	0.0368	0.0368
OG0007240	0.0343	137.4	222.6	1	0.0114	0.0114
OG0007241	0.0948	100.1	358.9	1	0.0316	0.0316
OG0007242	0.043	198.8	590.2	1	0.0143	0.0143
OG0007243	0.0325	103.8	274.2	1	0.0108	0.0108
OG0007244	0.0616	221.5	579.5	1	0.0205	0.0205
OG0007245	0.0643	105.8	236.2	1	0.0214	0.0214
OG0007246	0.0323	231.5	620.5	1	0.0108	0.0108
OG0007247	0.0438	215.4	486.6	1	0.0146	0.0146
OG0007248	0.0925	123.3	182.7	1	0.0308	0.0308
OG0007249	3.3594	201.5	545.5	1	1.1198	1.1198
OG0007252	0.079	165.9	377.1	1	0.0263	0.0263
OG0007253	0.0405	114.5	491.5	1	0.0135	0.0135
OG0007254	0.0328	153.3	404.7	1	0.0109	0.0109
OG0007255	0.1094	118.2	283.8	1	0.0365	0.0365
OG0007257	0.0164	221.9	705.1	1	0.0055	0.0055
OG0007258	1.7472	91.2	184.8	1	0.5824	0.5824
OG0007259	0.0417	175.7	337.3	1	0.0139	0.0139
OG0007260	0.0496	143.7	354.3	1	0.0165	0.0165
OG0007261	0.0473	661.6	1603.4	1	0.0158	0.0158
OG0007262	1.5416	154.4	409.6	1	0.5139	0.5139
OG0007263	0.058	142.1	385.9	1	0.0193	0.0193
OG0007264	0.0082	67.6	295.4	1	0.0027	0.0027
OG0007266	0.0719	136.9	466.1	1	0.024	0.024
OG0007267	0.0399	211.2	478.8	1	0.0133	0.0133
OG0007268	0.0663	95.2	231.8	1	0.0221	0.0221
OG0007269	0.0565	136	347	1	0.0188	0.0188
OG0007270	1.043	87.7	239.3	1	0.3477	0.3477
OG0007271	0.0754	173.2	600.8	1	0.0251	0.0251
OG0007272	0.0212	1139.6	3051.4	1	0.0071	0.0071
OG0007273	1.5593	249.4	716.6	1	0.5198	0.5198
OG0007274	0.0479	108.7	401.3	1	0.016	0.016
OG0007275	0.1232	105.2	452.8	1	0.0411	0.0411
OG0007276	0	100.1	295.9	1	0	0
OG0007277	0.1067	154.6	370.4	1	0.0356	0.0356
OG0007279	0.0309	89.5	210.5	1	0.0103	0.0103
OG0007281	0.0263	175.3	517.7	1	0.0088	0.0088
OG0007282	0.2985	105.6	296.4	1	0.0995	0.0995
OG0007283	0.0493	136.1	607.9	1	0.0164	0.0164
OG0007284	0	149.8	384.2	1	0	0
OG0007285	0.0506	223.1	619.9	1	0.0169	0.0169
OG0007286	0.046	243.2	557.8	1	0.0153	0.0153
OG0007288	0.1572	212	613	1	0.0524	0.0524
OG0007289	0.0247	145.8	349.2	1	0.0082	0.0082
OG0007290	0.0226	121.5	415.5	1	0.0075	0.0075
OG0007292	0.1026	226.3	589.7	1	0.0342	0.0342
OG0007293	0.0852	127.3	343.7	1	0.0284	0.0284
OG0007294	0.065	108.7	362.3	1	0.0217	0.0217
OG0007295	3.1857	87.7	290.3	1	1.0619	1.0619
OG0007296	0.014	142.3	505.7	1	0.0047	0.0047
OG0007299	0.0644	226	545	1	0.0215	0.0215
OG0007300	0.0082	67.3	304.7	1	0.0027	0.0027
OG0007301	0.1444	464.3	1407.7	1	0.0481	0.0481
OG0007302	0.0505	258.8	908.2	1	0.0168	0.0168
OG0007303	0.0335	130	416	1	0.0112	0.0112
OG0007304	0.0339	190.2	355.8	1	0.0113	0.0113
OG0007305	0.085	269	679	1	0.0283	0.0283
OG0007306	0.0407	201	549	1	0.0136	0.0136
OG0007307	0.0463	179.7	351.3	1	0.0154	0.0154
OG0007308	0.0488	128.9	372.1	1	0.0163	0.0163
OG0007309	0.3795	73.8	223.2	1	0.1265	0.1265
OG0007310	0.0256	42.5	314.5	1	0.0085	0.0085
OG0007311	0.0778	62.4	138.6	1	0.0259	0.0259
OG0007312	0.0469	171.1	359.9	1	0.0156	0.0156
OG0007313	0.041	262.9	853.1	1	0.0137	0.0137
OG0007314	0.0273	123.7	323.3	1	0.0091	0.0091
OG0007315	0.0075	69.3	335.7	1	0.0025	0.0025
OG0007316	1.2113	75.8	248.2	1	0.4038	0.4038
OG0007317	3.4527	87.6	272.4	1	1.1509	1.1509
OG0007318	0.9838	110.6	402.4	1	0.3279	0.3279
OG0007319	0.1876	111.1	362.9	1	0.0625	0.0625
OG0007320	0.0347	221.9	399.1	1	0.0116	0.0116
OG0007321	0.1224	292.1	709.9	1	0.0408	0.0408
OG0007322	0.0521	147.5	497.5	1	0.0174	0.0174
OG0007324	1.4586	55.6	157.4	1	0.4862	0.4862
OG0007325	0.038	191	454	1	0.0127	0.0127
OG0007327	0.0307	82.9	217.1	1	0.0102	0.0102
OG0007329	1.2146	221.6	624.4	1	0.4049	0.4049
OG0007330	0.0444	150	402	1	0.0148	0.0148
OG0007331	0.0697	117.1	326.9	1	0.0232	0.0232
OG0007332	0.1311	139.8	361.2	1	0.0437	0.0437
OG0007333	0.0543	72.1	266.9	1	0.0181	0.0181
OG0007334	0.0505	120.5	368.5	1	0.0168	0.0168
OG0007335	0.0453	209.5	534.5	1	0.0151	0.0151
OG0007336	0.0565	86	187	1	0.0188	0.0188
OG0007338	2.0169	62.2	183.8	1	0.6723	0.6723
OG0007339	0.0343	84	276	1	0.0114	0.0114
OG0007340	0.067	99.1	269.9	1	0.0223	0.0223
OG0007341	0.0933	234.2	632.8	1	0.0311	0.0311
OG0007342	0.0706	170	319	1	0.0235	0.0235
OG0007343	0.0582	167.3	465.7	1	0.0194	0.0194
OG0007344	0.0798	264.7	779.3	1	0.0266	0.0266
OG0007345	0.0825	139.9	349.1	1	0.0275	0.0275
OG0007346	0.0181	169.4	340.6	1	0.006	0.006
OG0007347	0.013	251.9	450.1	1	0.0043	0.0043
OG0007348	0.0347	122.1	402.9	1	0.0116	0.0116
OG0007350	0.0492	123.9	251.1	1	0.0164	0.0164
OG0007351	0.0487	217	605	1	0.0162	0.0162
OG0007352	0.1406	211.4	676.6	1	0.0469	0.0469
OG0007353	0.0361	244	770	1	0.012	0.012
OG0007354	0.0538	226.1	580.9	1	0.0179	0.0179
OG0007355	0.0085	171.9	536.1	1	0.0028	0.0028
OG0007356	0.0102	104	496	1	0.0034	0.0034
OG0007357	0.1887	148.5	472.5	1	0.0629	0.0629
OG0007358	0.0232	231.3	425.7	1	0.0077	0.0077
OG0007359	0.0392	507.4	1361.6	1	0.0131	0.0131
OG0007360	0.2816	194.6	582.4	1	0.0939	0.0939
OG0007361	0.0587	299.5	738.5	1	0.0196	0.0196
OG0007362	0.0778	338.2	612.8	1	0.0259	0.0259
OG0007363	0.0549	287.9	717.1	1	0.0183	0.0183
OG0007365	0.0446	217.3	538.7	1	0.0149	0.0149
OG0007366	0.0376	116.4	291.6	1	0.0125	0.0125
OG0007367	0.064	149.4	378.6	1	0.0213	0.0213
OG0007368	0.2495	141.1	398.9	1	0.0832	0.0832
OG0007369	0.039	72.9	395.1	1	0.013	0.013
OG0007370	0.0663	122.9	297.1	1	0.0221	0.0221
OG0007371	0.0687	264.5	944.5	1	0.0229	0.0229
OG0007373	0.0096	226.1	403.9	1	0.0032	0.0032
OG0007374	0.0602	129	381	1	0.0201	0.0201
OG0007376	0.0478	224.3	876.7	1	0.0159	0.0159
OG0007377	2.9615	120.6	374.4	1	0.9872	0.9872
OG0007378	0.0809	155.9	570.1	1	0.027	0.027
OG0007379	0.0681	140.7	402.3	1	0.0227	0.0227
OG0007381	0.1063	245.8	777.2	1	0.0354	0.0354
OG0007382	0.0453	66.4	482.6	1	0.0151	0.0151
OG0007383	0.0626	259.3	529.7	1	0.0209	0.0209
OG0007384	0.0222	135.9	416.1	1	0.0074	0.0074
OG0007385	0.6191	93.2	272.8	1	0.2064	0.2064
OG0007386	0.1515	90.3	221.7	1	0.0505	0.0505
OG0007387	0.0279	229.1	532.9	1	0.0093	0.0093
OG0007388	0.059	249.7	737.3	1	0.0197	0.0197
OG0007389	0.0388	301.4	646.6	1	0.0129	0.0129
OG0007390	0.045	122.2	342.8	1	0.015	0.015
OG0007391	0.0342	193.4	433.6	1	0.0114	0.0114
OG0007392	0.0369	61.5	109.5	1	0.0123	0.0123
OG0007393	0.067	153.7	398.3	1	0.0223	0.0223
OG0007394	0.0611	223.5	487.5	1	0.0204	0.0204
OG0007395	0.027	281.8	510.2	1	0.009	0.009
OG0007396	0	87.5	254.5	1	0	0
OG0007397	0.0723	184.4	457.6	1	0.0241	0.0241
OG0007398	0.0327	277.7	658.3	1	0.0109	0.0109
OG0007400	0.3254	129	288	1	0.1085	0.1085
OG0007401	0.1841	65.9	450.1	1	0.0614	0.0614
OG0007402	0.019	338.3	792.7	1	0.0063	0.0063
OG0007403	0.0581	291.9	770.1	1	0.0194	0.0194
OG0007404	0.0278	373.8	841.2	1	0.0093	0.0093
OG0007405	0.0268	185.9	495.1	1	0.0089	0.0089
OG0007406	0.0292	105.2	311.8	1	0.0097	0.0097
OG0007407	0.0454	80.8	255.2	1	0.0151	0.0151
OG0007408	0.0383	74.9	243.1	1	0.0128	0.0128
OG0007411	0.028	115.7	319.3	1	0.0093	0.0093
OG0007412	0.0481	189.7	386.3	1	0.016	0.016
OG0007413	0.0652	284.5	666.5	1	0.0217	0.0217
OG0007414	0.0155	879.2	1877.8	1	0.0052	0.0052
OG0007415	1.7261	84	255	1	0.5754	0.5754
OG0007416	0.0334	156.2	395.8	1	0.0111	0.0111
OG0007417	0.0663	112.9	352.1	1	0.0221	0.0221
OG0007418	0.0436	424	1124	1	0.0145	0.0145
OG0007419	0.0584	470.8	1065.2	1	0.0195	0.0195
OG0007420	0.0197	399	693	1	0.0066	0.0066
OG0007421	0.1077	287.7	894.3	1	0.0359	0.0359
OG0007423	0.0442	281.5	756.5	1	0.0147	0.0147
OG0007424	0.0908	157.9	421.1	1	0.0303	0.0303
OG0007425	1.2503	88.7	193.3	1	0.4168	0.4168
OG0007426	0.0104	332.2	840.8	1	0.0035	0.0035
OG0007427	0.0677	216.5	650.5	1	0.0226	0.0226
OG0007428	1.832	91.6	286.4	1	0.6107	0.6107
OG0007429	0.0497	327.3	1079.7	1	0.0166	0.0166
OG0007430	0.04	161.5	378.5	1	0.0133	0.0133
OG0007432	0.0692	132.3	446.7	1	0.0231	0.0231
OG0007433	0.0283	168.3	374.7	1	0.0094	0.0094
OG0007434	0.0467	426.4	1406.6	1	0.0156	0.0156
OG0007435	0.0548	135.6	371.4	1	0.0183	0.0183
OG0007436	0.1475	83.5	318.5	1	0.0492	0.0492
OG0007437	0.0266	173.5	402.5	1	0.0089	0.0089
OG0007438	0.2489	122.9	396.1	1	0.083	0.083
OG0007439	0.036	107.3	222.7	1	0.012	0.012
OG0007440	0.0431	434.4	1194.6	1	0.0144	0.0144
OG0007441	0.0127	380.7	816.3	1	0.0042	0.0042
OG0007442	3.1341	147.5	425.5	1	1.0447	1.0447
OG0007443	0.033	256.2	667.8	1	0.011	0.011
OG0007444	0.0678	561.9	1487.1	1	0.0226	0.0226
OG0007445	0.0392	197.9	660.1	1	0.0131	0.0131
OG0007446	0.0518	139.6	394.4	1	0.0173	0.0173
OG0007447	0.0173	150.5	551.5	1	0.0058	0.0058
OG0007448	0.0194	420.9	839.1	1	0.0065	0.0065
OG0007449	0.0841	161.2	504.8	1	0.028	0.028
OG0007450	0.0636	190.5	535.5	1	0.0212	0.0212
OG0007451	0.4788	24.8	68.2	1	0.1596	0.1596
OG0007452	0.0488	263.7	615.3	1	0.0163	0.0163
OG0007453	0.3021	187.2	391.8	1	0.1007	0.1007
OG0007454	0.0314	592.7	1546.3	1	0.0105	0.0105
OG0007455	0.0508	162.5	383.5	1	0.0169	0.0169
OG0007457	0.0347	120.6	410.4	1	0.0116	0.0116
OG0007458	0.0869	196.1	517.9	1	0.029	0.029
OG0007459	0.0096	311.3	951.7	1	0.0032	0.0032
OG0007461	0.0972	264.1	572.9	1	0.0324	0.0324
OG0007462	0.0491	214.9	598.1	1	0.0164	0.0164
OG0007463	0.0089	55.2	283.8	1	0.003	0.003
OG0007465	0.0427	328.1	751.9	1	0.0142	0.0142
OG0007466	0.0481	91.2	226.8	1	0.016	0.016
OG0007467	0.1312	519.3	1388.7	1	0.0437	0.0437
OG0007470	0.0559	146.8	459.2	1	0.0186	0.0186
OG0007471	0.0829	357.4	875.6	1	0.0276	0.0276
OG0007472	0.2085	94.5	304.5	1	0.0695	0.0695
OG0007473	0.0555	428	1234	1	0.0185	0.0185
OG0007474	0.0328	441.3	1145.7	1	0.0109	0.0109
OG0007475	0.0384	256.9	781.1	1	0.0128	0.0128
OG0007476	0.0947	224.1	561.9	1	0.0316	0.0316
OG0007477	0.0986	210.2	485.8	1	0.0329	0.0329
OG0007478	0.0297	92.3	216.7	1	0.0099	0.0099
OG0007479	0.0545	274.5	907.5	1	0.0182	0.0182
OG0007480	0.0622	195.8	449.2	1	0.0207	0.0207
OG0007482	1.1286	90.5	440.5	1	0.3762	0.3762
OG0007483	0.171	135.3	326.7	1	0.057	0.057
OG0007484	0.0199	339.6	734.4	1	0.0066	0.0066
OG0007485	0.0655	185.7	465.3	1	0.0218	0.0218
OG0007486	0.3704	134.8	501.2	1	0.1235	0.1235
OG0007487	0.025	247.4	736.6	1	0.0083	0.0083
OG0007488	0.0722	296.8	774.2	1	0.0241	0.0241
OG0007490	0.0276	194.2	579.8	1	0.0092	0.0092
OG0007491	0.0386	412.4	856.6	1	0.0129	0.0129
OG0007492	0.091	265.8	898.2	1	0.0303	0.0303
OG0007493	0.1696	114	387	1	0.0565	0.0565
OG0007494	0.0344	230.1	741.9	1	0.0115	0.0115
OG0007495	0.0636	133.5	397.5	1	0.0212	0.0212
OG0007496	0.1109	312.1	731.9	1	0.037	0.037
OG0007497	0.0379	215	520	1	0.0126	0.0126
OG0007498	2.1853	61.9	154.1	1	0.7284	0.7284
OG0007499	0.0151	139.2	466.8	1	0.005	0.005
OG0007500	0.376	121.4	352.6	1	0.1253	0.1253
OG0007501	0.0123	274.8	967.2	1	0.0041	0.0041
OG0007502	0.0453	410.2	1209.8	1	0.0151	0.0151
OG0007503	0.0365	474.3	1109.7	1	0.0122	0.0122
OG0007504	0.0212	142.1	289.9	1	0.0071	0.0071
OG0007505	0.0145	35.9	381.1	1	0.0048	0.0048
OG0007506	0.015	188.2	429.8	1	0.005	0.005
OG0007507	0.0621	95.6	348.4	1	0.0207	0.0207
OG0007508	0.0176	403.6	811.4	1	0.0059	0.0059
OG0007509	0.0897	175.8	448.2	1	0.0299	0.0299
OG0007511	0.0748	159.6	419.4	1	0.0249	0.0249
OG0007512	0.0473	385.1	859.9	1	0.0158	0.0158
OG0007513	0.0265	229.4	442.6	1	0.0088	0.0088
OG0007514	0.5948	81.8	206.2	1	0.1983	0.1983
OG0007517	0.032	345.6	704.4	1	0.0107	0.0107
OG0007518	0.0291	124.2	502.8	1	0.0097	0.0097
OG0007519	0.0313	288.8	680.2	1	0.0104	0.0104
OG0007520	0.0528	181.7	697.3	1	0.0176	0.0176
OG0007521	0.0412	104.9	198.1	1	0.0137	0.0137
OG0007522	0.0633	214.6	508.4	1	0.0211	0.0211
OG0007523	0.1028	219	543	1	0.0343	0.0343
OG0007525	0.0629	224.9	558.1	1	0.021	0.021
OG0007526	0.0379	253.2	799.8	1	0.0126	0.0126
OG0007527	0.0204	116	631	1	0.0068	0.0068
OG0007528	0.0284	299.5	879.5	1	0.0095	0.0095
OG0007529	0.0396	336.1	1121.9	1	0.0132	0.0132
OG0007530	0.0571	484.7	1342.3	1	0.019	0.019
OG0007531	0.0418	291.1	806.9	1	0.0139	0.0139
OG0007532	0.0681	202.9	610.1	1	0.0227	0.0227
OG0007533	0.0459	310.2	886.8	1	0.0153	0.0153
OG0007534	0.0227	212.3	456.7	1	0.0076	0.0076
OG0007535	0.1527	254.3	678.7	1	0.0509	0.0509
OG0007536	0.0391	309.9	791.1	1	0.013	0.013
OG0007537	0.1335	134.3	381.7	1	0.0445	0.0445
OG0007538	0.0631	159.9	521.1	1	0.021	0.021
OG0007539	0.0336	432.7	1112.3	1	0.0112	0.0112
OG0007541	0.0792	134.6	447.4	1	0.0264	0.0264
OG0007542	0.0726	300.1	854.9	1	0.0242	0.0242
OG0007545	0.0312	319.9	847.1	1	0.0104	0.0104
OG0007546	0.0947	299.7	969.3	1	0.0316	0.0316
OG0007547	0.0652	218.5	498.5	1	0.0217	0.0217
OG0007548	0.0749	174.2	518.8	1	0.025	0.025
OG0007549	0.0259	325.5	862.5	1	0.0086	0.0086
OG0007550	0.0634	492.6	1256.4	1	0.0211	0.0211
OG0007551	0.0472	342.5	881.5	1	0.0157	0.0157
OG0007552	0.0599	288.7	743.3	1	0.02	0.02
OG0007553	0	78.5	230.5	1	0	0
OG0007555	0.0828	153.7	368.3	1	0.0276	0.0276
OG0007556	0.0378	168.7	551.3	1	0.0126	0.0126
OG0007557	0.0162	126.3	248.7	1	0.0054	0.0054
OG0007560	0.0326	278.6	753.4	1	0.0109	0.0109
OG0007561	0.0057	183.5	359.5	1	0.0019	0.0019
OG0007562	0.046	269.8	729.2	1	0.0153	0.0153
OG0007563	0.0655	74.7	579.3	1	0.0218	0.0218
OG0007564	0.0389	195.8	443.2	1	0.013	0.013
