OrthoGroup	t	S	N	dNdS	dN	dS
OG0007085	0.0319	470.3	1296.7	0.0436	0.0016	0.0356
OG0007086	0.082	163.6	406.4	0.5967	0.0229	0.0384
OG0007087	0.0505	140.5	276.5	0.2119	0.0075	0.0353
OG0007088	0.0527	181.4	400.6	1.7896	0.0204	0.0114
OG0007089	0.0459	156.1	383.9	0.2363	0.0079	0.0335
OG0007090	0.013	193.3	526.7	0.1727	0.0019	0.011
OG0007091	0.0635	357.9	740.1	0.1759	0.0084	0.0476
OG0007092	0.0181	689.5	1752.5	0.1439	0.0023	0.0157
OG0007093	0.0439	121	449	0.2531	0.009	0.0355
OG0007095	0.0574	92.4	402.6	0.1065	0.0074	0.07
OG0007096	0.0262	99.9	368.1	0.0896	0.0027	0.0307
OG0007097	0.0382	122.5	447.5	0.001	0.0001	0.0591
OG0007098	0.0652	241.1	490.9	0.1673	0.0082	0.0492
OG0007099	0.1701	87.7	230.3	0.8995	0.055	0.0611
OG0007100	2.1977	77.7	189.3	0.9257	0.7158	0.7733
OG0007101	0.0487	72.5	242.5	1.1198	0.0166	0.0149
OG0007102	0.0237	224.2	417.8	0.1342	0.0024	0.0181
OG0007104	0.013	418.6	1303.4	0.0492	0.0008	0.0155
OG0007105	0.0399	138.6	413.4	0.3859	0.0095	0.0246
OG0007106	0.0224	271.7	547.3	0.1027	0.0019	0.0186
OG0007107	0.0288	174.9	461.1	0.001	0	0.0349
OG0007108	0.0327	499.9	1348.1	0.0412	0.0015	0.0362
OG0007110	0.0566	95.9	228.1	2.005	0.0222	0.0111
OG0007112	0.0335	332.3	489.7	1.3529	0.0125	0.0092
OG0007113	0.0434	176.4	1020.6	0.0722	0.005	0.0692
OG0007114	0.4778	83.7	231.3	0.9166	0.1555	0.1697
OG0007115	0.0962	131.9	393.1	0.1919	0.0156	0.0812
OG0007116	0.0334	249.6	680.4	0.1526	0.0045	0.0293
OG0007117	0.0761	154.6	397.4	0.0311	0.0026	0.0838
OG0007118	0.0196	196.2	781.8	0.0462	0.0013	0.0275
OG0007119	0.0777	263.9	690.1	0.712	0.0233	0.0327
OG0007120	0.0197	153.5	485.5	0.0993	0.0021	0.0208
OG0007121	0.0872	94.4	229.6	0.7561	0.0266	0.0352
OG0007122	0.0419	142.5	613.5	0.0595	0.0035	0.0589
OG0007123	0	43.2	190.8	0.001	0	0
OG0007125	0.0181	118.6	454.4	0.001	0	0.029
OG0007126	0.0457	421.4	1027.6	0.2859	0.0088	0.0309
OG0007127	0.025	113.6	393.4	0.0896	0.0025	0.0284
OG0007128	0.5285	110.9	261.1	0.2656	0.0965	0.3635
OG0007129	0.023	144.6	392.4	0.001	0	0.0285
OG0007130	0.0656	170.4	444.6	0.4305	0.016	0.0372
OG0007131	0.1307	78.3	191.7	0.6565	0.0378	0.0576
OG0007132	0.0772	97.7	229.3	0.1338	0.0088	0.0655
OG0007133	0.0252	137.8	381.2	0.001	0	0.0315
OG0007134	0.0517	120.2	377.8	0.1664	0.0078	0.0469
OG0007135	0.0331	139.8	343.2	0.001	0	0.038
OG0007136	0.0257	169.1	673.9	0.1774	0.0044	0.025
OG0007137	0.0071	198.4	662.6	0.2944	0.0015	0.0052
OG0007139	0.0575	226	764	0.0352	0.0026	0.075
OG0007140	0.0471	352.2	817.8	0.2196	0.0076	0.0346
OG0007141	0.0244	130.4	505.6	0.3508	0.0059	0.0168
OG0007142	0.0385	184.3	484.7	0.05	0.0021	0.0412
OG0007143	0.0475	175.1	607.9	0.1003	0.0053	0.0525
OG0007144	0	82.5	286.5	0.2271	0	0
OG0007145	0.0125	172.9	553.1	0.001	0	0.0175
OG0007146	0.0442	361	1025	0.8011	0.0139	0.0173
OG0007147	0.0408	181.7	973.3	0.0895	0.0052	0.0585
OG0007148	0.0612	131.9	342.1	0.0997	0.0058	0.0583
OG0007149	0.0293	380.9	1158.1	0.001	0	0.0394
OG0007150	0.0322	106.4	280.6	0.3464	0.0071	0.0204
OG0007151	0.2356	53.6	150.4	0.954	0.0776	0.0813
OG0007152	0.0357	247.9	643.1	0.04	0.0015	0.0387
OG0007153	0.0199	119	340	0.1755	0.003	0.0171
OG0007154	0.0678	124.9	418.1	0.0991	0.0073	0.0738
OG0007156	0.1471	90	366	0.4533	0.0396	0.0874
OG0007157	0.0131	289.5	649.5	0.4221	0.0031	0.0073
OG0007158	1.8544	46.8	148.2	0.372	0.4398	1.1824
OG0007159	0.0292	155.9	372.1	0.1042	0.0028	0.0264
OG0007160	0.0263	177.3	398.7	0.3007	0.0051	0.017
OG0007161	0.0223	336.7	1106.3	0.001	0	0.0318
OG0007162	0.045	194.9	831.1	0.1539	0.0073	0.0477
OG0007163	0.0139	658.1	1753.9	0.139	0.0017	0.0124
OG0007164	0.1398	197.7	507.3	1.1388	0.0482	0.0424
OG0007165	0.0069	329.2	981.8	0.001	0	0.0092
OG0007166	0.0691	142.1	481.9	0.387	0.0169	0.0437
OG0007167	0.0245	161.6	360.4	0.1379	0.0028	0.0202
OG0007168	0.0355	238.5	664.5	0.1386	0.0045	0.0323
OG0007169	0.1071	111.9	203.1	0.199	0.0147	0.0738
OG0007170	0.0416	113.2	264.8	0.2624	0.0075	0.0287
OG0007171	0.0318	70.1	229.9	0.001	0	0.0452
OG0007172	0.0447	177.6	503.4	0.5301	0.0121	0.0228
OG0007173	0.0581	144.3	359.7	0.0458	0.0028	0.0607
OG0007174	5.4356	73.1	235.9	0.0616	0.3934	6.389
OG0007176	0.0594	207.5	533.5	0.0288	0.0019	0.0659
OG0007177	4.9878	113.7	435.3	0.1367	0.7206	5.2695
OG0007178	0.238	76.9	271.1	1.1692	0.082	0.0701
OG0007179	0.0203	165.4	449.6	0.1174	0.0022	0.0191
OG0007180	0.0462	107.6	285.4	0.5215	0.0123	0.0236
OG0007181	0.0404	276.1	707.9	0.2424	0.0072	0.0296
OG0007182	0.0141	943.5	2314.5	0.0618	0.0009	0.0141
OG0007183	0.0366	120.9	326.1	0.001	0	0.045
OG0007184	0.0434	270.5	602.5	0.0863	0.0034	0.0391
OG0007185	0.0457	322.3	1054.7	0.2305	0.0085	0.0371
OG0007186	0.0396	118.8	502.2	0.1404	0.0061	0.0433
OG0007187	0.0607	188.1	630.9	0.1719	0.0096	0.0559
OG0007188	0.0296	88.6	223.4	0.7373	0.0089	0.0121
OG0007189	0.023	120.4	467.6	0.001	0	0.0373
OG0007190	0.0215	42.8	80.2	0.001	0	0.0206
OG0007192	0.351	204.6	641.4	0.6527	0.1037	0.1588
OG0007193	0.0444	115.7	373.3	0.2204	0.0081	0.0366
OG0007194	0.0908	105.4	275.6	0.7701	0.028	0.0363
OG0007195	0.1022	154.3	358.7	0.1294	0.0113	0.0871
OG0007196	0.0185	244.7	973.3	0.001	0	0.0306
OG0007197	0.0798	199.2	388.8	0.4571	0.019	0.0415
OG0007202	0.0507	137.8	318.2	0.064	0.0031	0.0487
OG0007203	0.0715	162.3	407.7	0.4401	0.0175	0.0397
OG0007205	0.0311	126.8	371.2	0.2187	0.0054	0.0248
OG0007206	0.0556	99.9	293.1	0.4131	0.0136	0.033
OG0007207	0	97.6	298.4	0.5038	0	0
OG0007208	0.0505	130.3	241.7	0.2745	0.0087	0.0318
OG0007209	0.0486	529.4	1570.6	0.0726	0.0038	0.0528
OG0007210	0.0108	200.8	693.2	0.001	0	0.016
OG0007211	0.0373	206.9	624.1	0.7259	0.0114	0.0156
OG0007212	0.0182	107.5	246.5	0.001	0	0.0199
OG0007213	0.0388	139.3	247.7	0.1451	0.0041	0.0286
OG0007214	0.0293	116.8	219.2	0.001	0	0.0281
OG0007216	0.0161	246.3	698.7	1.382	0.0058	0.0042
OG0007217	0.0508	231.1	638.9	0.1891	0.0079	0.0419
OG0007218	0.0063	165.5	317.5	0.001	0	0.0061
OG0007219	0.0393	115	464	0.1586	0.0064	0.0402
OG0007220	0.0523	30.8	176.2	0.066	0.0056	0.0849
OG0007221	0.0415	140.6	456.4	0.1009	0.0045	0.0443
OG0007222	0.0094	379	1634	0.0434	0.0006	0.014
OG0007223	50	138.4	461.6	0.0062	0.4361	70.784
OG0007225	0.0869	198.6	584.4	0.4798	0.0227	0.0474
OG0007226	0.3213	99.1	245.9	1.0907	0.1097	0.1006
OG0007227	0.2943	221.8	738.2	0.5082	0.0802	0.1577
OG0007228	0.0255	91.2	286.8	0.1432	0.0035	0.0243
OG0007230	0.0237	182.3	840.7	0.1315	0.0036	0.0276
OG0007232	0.4002	150.5	440.5	0.9186	0.1304	0.142
OG0007233	0.0572	135	402	0.7562	0.0176	0.0233
OG0007234	0.0197	126.1	338.9	0.2785	0.0039	0.0139
OG0007235	0.0199	157.2	292.8	0.001	0	0.019
OG0007236	0.0421	132.2	527.8	0.2999	0.0096	0.0319
OG0007237	0.0245	114.1	254.9	0.001	0	0.0264
OG0007238	0.0217	162.7	413.3	0.1256	0.0024	0.0194
OG0007239	0.1123	114.6	512.4	0.0998	0.0141	0.1416
OG0007240	0.0326	137.4	222.6	0.001	0	0.0284
OG0007241	0.0948	99.7	359.3	0.9484	0.0312	0.0329
OG0007242	0.045	190.6	598.4	0.1085	0.005	0.0463
OG0007243	0.0324	100.8	277.2	0.3675	0.0074	0.0201
OG0007244	0.0621	213.8	587.2	0.3468	0.0138	0.0397
OG0007245	0.064	103.5	238.5	0.3282	0.0132	0.0401
OG0007246	0.0344	193	659	0.001	0.0001	0.0504
OG0007247	0.0465	191.5	510.5	0.0836	0.0039	0.0464
OG0007248	0.0932	123.3	182.7	2.4819	0.0409	0.0165
OG0007249	50	201.2	545.8	0.0103	0.6205	60.1808
OG0007252	0.0803	158.4	384.6	0.2685	0.0149	0.0555
OG0007253	0.041	110.4	495.6	0.1292	0.0061	0.0475
OG0007254	0.0332	145.7	412.3	0.3362	0.0073	0.0217
OG0007255	0.1105	117.3	284.7	0.5135	0.0288	0.0562
OG0007257	0.0165	218.9	708.1	0.4529	0.0043	0.0094
OG0007258	1.851	91	185	0.5327	0.4786	0.8985
OG0007259	0.0432	174	339	0.0799	0.0029	0.0367
OG0007260	0.0519	135.5	362.5	0.0493	0.0028	0.0562
OG0007261	0.0476	632.2	1632.8	0.2524	0.0087	0.0344
OG0007262	9.523	148	416	0.0141	0.1641	11.6349
OG0007263	0.0591	131.9	396.1	0.2108	0.0102	0.0483
OG0007264	0.0079	67.6	295.4	0.001	0	0.0142
OG0007266	0.0733	134.4	468.6	0.2769	0.0154	0.0558
OG0007267	0.0401	203.6	486.4	0.2067	0.0063	0.0303
OG0007268	0.067	93.2	233.8	0.4391	0.0164	0.0373
OG0007269	0.0566	131.7	351.3	0.4649	0.0144	0.0309
OG0007270	1.1714	83.1	243.9	0.293	0.242	0.8261
OG0007271	0.0761	165.5	608.5	0.4418	0.02	0.0452
OG0007272	0.0215	1096.4	3094.6	0.1545	0.0029	0.019
OG0007273	12.2037	238.2	727.8	0.0151	0.2385	15.7697
OG0007274	0.0535	85.3	424.7	0.001	0.0001	0.1062
OG0007275	0.1284	103.4	454.6	0.1734	0.0227	0.131
OG0007276	0	101.9	294.1	0.4229	0	0
OG0007277	0.1096	135.4	389.6	0.2535	0.0208	0.0819
OG0007279	0.0328	83.2	216.8	0.001	0	0.0393
OG0007281	0.0266	162.4	530.6	0.2958	0.0057	0.0192
OG0007282	0.2988	104.6	297.4	0.7899	0.0932	0.1179
OG0007283	0.0513	124.8	619.2	0.2458	0.0113	0.0459
OG0007284	0	150.7	383.3	0.4548	0	0
OG0007285	0.0506	222	621	0.9084	0.0164	0.0181
OG0007286	0.0474	228.3	572.7	0.0753	0.0035	0.0466
OG0007288	0.1577	211.1	613.9	0.6103	0.0452	0.074
OG0007289	0.0248	143.1	351.9	0.3981	0.0058	0.0145
OG0007290	0.0226	120.3	416.7	0.8731	0.0073	0.0084
OG0007292	0.1026	226.2	589.8	0.9965	0.0342	0.0343
OG0007293	0.0855	123.3	347.7	0.4051	0.0206	0.0508
OG0007294	0.0649	109.1	361.9	1.1132	0.0222	0.0199
OG0007295	50	85.5	292.5	0.0102	0.7233	71.1975
OG0007296	0.0152	127.5	520.5	0.001	0	0.0257
OG0007299	0.0645	223.8	547.2	0.3149	0.0132	0.0419
OG0007300	0.0095	67.3	304.7	0.001	0	0.0175
OG0007301	0.1463	459.2	1412.8	0.4582	0.0378	0.0825
OG0007302	0.0525	252.4	914.6	0.0304	0.0022	0.0729
OG0007303	0.0352	127.9	418.1	0.0565	0.0024	0.0423
OG0007304	0.0328	190.2	355.8	0.1146	0.003	0.0259
OG0007305	0.0866	258	690	0.298	0.0176	0.059
OG0007306	0.0412	189.4	560.6	0.3213	0.0089	0.0279
OG0007307	0.047	176.3	354.7	0.2836	0.0085	0.03
OG0007308	0.0496	124.1	376.9	0.3091	0.0106	0.0344
OG0007309	0.3831	71.9	225.1	0.5399	0.1059	0.1961
OG0007310	0.0259	42.5	314.5	0.255	0.0064	0.0252
OG0007311	0.0809	61.3	139.7	0.1008	0.0072	0.0718
OG0007312	0.0474	170.3	360.7	0.449	0.0113	0.0252
OG0007313	0.042	252.3	863.7	0.3058	0.0092	0.0302
OG0007314	0.0285	122.2	324.8	0.001	0	0.0346
OG0007315	0.0079	69.3	335.7	0.001	0	0.0153
OG0007316	1.6268	73	251	0.1435	0.2313	1.6114
OG0007317	12.8278	84.6	275.4	0.0484	0.7602	15.7132
OG0007318	50	92.5	420.5	0.0012	0.1059	91.983
OG0007319	0.1903	109.5	364.5	0.5035	0.0517	0.1026
OG0007320	0.0359	219.1	401.9	0.0852	0.0025	0.0293
OG0007321	0.1243	277.1	724.9	0.3581	0.0277	0.0774
OG0007322	0.0523	145.9	499.1	0.7147	0.016	0.0224
OG0007324	1.4901	54.7	158.3	0.6062	0.4257	0.7023
OG0007325	0.0373	183.7	461.3	0.1377	0.0045	0.0325
OG0007327	0.0324	77	223	0.001	0	0.0419
OG0007329	2.0776	217.7	628.3	0.092	0.1957	2.1266
OG0007330	0.0486	130.1	421.9	0.001	0.0001	0.0685
OG0007331	0.0709	111.5	332.5	0.0361	0.0031	0.085
OG0007332	0.13	132.5	368.5	0.3346	0.0284	0.0849
OG0007333	0.0605	60.5	278.5	0.001	0.0001	0.1124
OG0007334	0.0501	108.4	380.6	0.1726	0.0081	0.0469
OG0007335	0.0473	198.9	545.1	0.125	0.0055	0.0439
OG0007336	0.0565	85.6	187.4	0.6786	0.0164	0.0242
OG0007338	2.0397	60	186	0.5152	0.553	1.0733
OG0007339	0.0354	83.5	276.5	0.2697	0.0072	0.0269
OG0007340	0.0663	99.7	269.3	2.4042	0.0263	0.0109
OG0007341	0.0938	220.1	646.9	0.2071	0.0159	0.0766
OG0007342	0.0706	170.2	318.8	1.4224	0.0262	0.0184
OG0007343	0.0582	167.5	465.5	1.0377	0.0196	0.0189
OG0007344	0.0818	236	808	0.1894	0.0139	0.0732
OG0007345	0.0836	137.5	351.5	0.425	0.0202	0.0475
OG0007346	0.0177	169.4	340.6	0.001	0	0.0177
OG0007347	0.013	251.6	450.4	1.0867	0.0044	0.0041
OG0007348	0.0347	116	409	0.5628	0.0099	0.0175
OG0007350	0.0492	122.9	252.1	0.4882	0.0122	0.025
OG0007351	0.0493	214.1	607.9	0.4471	0.0124	0.0278
OG0007352	0.1431	205.9	682.1	0.3701	0.0342	0.0924
OG0007353	0.0375	217.4	796.6	0.1755	0.0062	0.0355
OG0007354	0.0542	221.2	585.8	0.6231	0.0155	0.0249
OG0007355	0.0088	151	557	0.001	0	0.0138
OG0007356	0.0114	104	496	0.001	0	0.0219
OG0007357	0.1893	146.6	474.4	0.6743	0.0566	0.084
OG0007358	0.0231	231.3	425.7	0.001	0	0.0219
OG0007359	0.0407	452.9	1416.1	0.0986	0.0042	0.0428
OG0007360	0.2915	171.7	605.3	0.284	0.0624	0.2197
OG0007361	0.0587	277.7	760.3	0.3681	0.0134	0.0365
OG0007362	0.0774	311.4	639.6	0.5955	0.0211	0.0354
OG0007363	0.0571	261.3	743.7	0.0652	0.004	0.0618
OG0007365	0.0451	209.3	546.7	0.3078	0.0093	0.0301
OG0007366	0.0378	110.7	297.3	0.0919	0.0034	0.0373
OG0007367	0.0701	141.3	386.7	0.001	0.0001	0.087
OG0007368	0.2505	138.7	401.3	0.6062	0.0716	0.1181
OG0007369	0.0401	72.9	395.1	0.0875	0.0051	0.0582
OG0007370	0.0662	122.4	297.6	0.8534	0.021	0.0246
OG0007371	0.0717	246	963	0.0537	0.0052	0.0971
OG0007373	0.0094	226.1	403.9	0.001	0	0.0087
OG0007374	0.0617	116.1	393.9	0.1833	0.0102	0.0558
OG0007376	0.049	223.9	877.1	0.0523	0.0035	0.0666
OG0007377	16.115	121.5	373.5	0.0329	0.653	19.8778
OG0007378	0.0844	153.7	572.3	0.113	0.0106	0.0935
OG0007379	0.073	128.2	414.8	0.0252	0.0024	0.0953
OG0007381	0.1084	235.9	787.1	0.3985	0.0268	0.0672
OG0007382	0.0495	65.6	483.4	0.001	0.0001	0.1371
OG0007383	0.0638	247.3	541.7	0.1456	0.0075	0.0514
OG0007384	0.0244	122.9	429.1	0.001	0	0.0365
OG0007385	0.6228	92	274	0.6744	0.1851	0.2745
OG0007386	0.1514	89.5	222.5	0.6617	0.044	0.0665
OG0007387	0.0286	217.4	544.6	0.0638	0.0018	0.0288
OG0007388	0.0599	239.3	747.7	0.2217	0.0108	0.0486
OG0007389	0.0395	291.6	656.4	0.001	0	0.0428
OG0007390	0.0439	114.3	350.7	0.0567	0.0029	0.0507
OG0007391	0.0347	190.7	436.3	0.3124	0.0069	0.0222
OG0007392	0.0358	61.5	109.5	0.001	0	0.0332
OG0007393	0.0679	148.6	403.4	0.3466	0.015	0.0433
OG0007394	0.0611	221	490	0.4501	0.0148	0.0328
OG0007395	0.0267	281.8	510.2	0.001	0	0.0249
OG0007396	0	85	257	0.001	0	0
OG0007397	0.0735	174.1	467.9	0.1293	0.0087	0.0671
OG0007398	0.0332	252.6	683.4	0.0398	0.0015	0.0371
OG0007400	0.3254	129	288	0.9778	0.1077	0.1102
OG0007401	0.2008	57.3	458.7	0.0904	0.0316	0.3499
OG0007402	0.0193	320.4	810.6	0.0637	0.0012	0.0196
OG0007403	0.058	286	776	0.5579	0.0159	0.0286
OG0007404	0.0289	344	871	0.001	0	0.034
OG0007405	0.0274	173.4	507.6	0.0657	0.002	0.0301
OG0007406	0.0302	97.3	319.7	0.095	0.0031	0.0329
OG0007407	0.0461	79.4	256.6	0.422	0.0116	0.0275
OG0007408	0.0398	63	255	0.0764	0.0039	0.0511
OG0007411	0.0295	105.5	329.5	0.0972	0.003	0.0311
OG0007412	0.0481	188.5	387.5	0.6111	0.0133	0.0217
OG0007413	0.0651	281.6	669.4	0.6984	0.0192	0.0275
OG0007414	0.0159	872	1885	0.4068	0.0036	0.0089
OG0007415	4.8784	83.6	255.4	0.0432	0.2515	5.8251
OG0007416	0.0334	153.5	398.5	0.1917	0.0051	0.0268
OG0007417	0.0672	110.3	354.7	0.4307	0.017	0.0396
OG0007418	0.0448	405	1143	0.1886	0.007	0.0372
OG0007419	0.059	463.1	1072.9	0.437	0.0142	0.0324
OG0007420	0.02	399	693	0.001	0	0.0182
OG0007421	0.1089	277.5	904.5	0.4028	0.0269	0.0669
OG0007423	0.0448	263.9	774.1	0.235	0.0082	0.0348
OG0007424	0.0909	154.8	424.2	0.5687	0.0252	0.0443
OG0007425	1.2753	88.5	193.5	0.7494	0.3847	0.5134
OG0007426	0.0104	332.5	840.5	1.1209	0.0036	0.0032
OG0007427	0.0689	209	658	0.3269	0.0153	0.0469
OG0007428	2.1134	87.1	290.9	0.3227	0.4749	1.4717
OG0007429	0.0499	309.6	1097.4	0.5191	0.0138	0.0266
OG0007430	0.0401	140.5	399.5	0.058	0.0026	0.0441
OG0007432	0.0706	121.2	457.8	0.2853	0.0154	0.0541
OG0007433	0.0297	151	392	0.001	0	0.0355
OG0007434	0.0492	380.5	1452.5	0.066	0.0042	0.0631
OG0007435	0.055	133.3	373.7	0.6843	0.0163	0.0239
OG0007436	0.1491	82.4	319.6	0.7131	0.0459	0.0644
OG0007437	0.0284	153.3	422.7	0.001	0	0.0354
OG0007438	0.2483	117	402	0.5306	0.069	0.1301
OG0007439	0.0351	107.3	222.7	0.001	0	0.0359
OG0007440	0.0433	396.6	1232.4	0.2434	0.0082	0.0338
OG0007441	0.013	365.1	831.9	0.1059	0.0012	0.0114
OG0007442	50	146.5	426.5	0.0105	0.6627	63.2627
OG0007443	0.0331	255.2	668.8	0.8299	0.0104	0.0126
OG0007444	0.0703	514.8	1534.2	0.1532	0.0098	0.064
OG0007445	0.0402	170.7	687.3	0.0891	0.0044	0.0495
OG0007446	0.0519	137.3	396.7	0.1717	0.0077	0.0449
OG0007447	0.0179	141.2	560.8	0.2254	0.0035	0.0156
OG0007448	0.0198	363.5	896.5	0.001	0	0.0229
OG0007449	0.0839	163.9	502.1	1.5857	0.0308	0.0194
OG0007450	0.0657	174.3	551.7	0.1926	0.0109	0.0567
OG0007451	0.4927	23.5	69.5	0.4511	0.1256	0.2785
OG0007452	0.0521	243.3	635.7	0.0569	0.0031	0.0546
OG0007453	0.3601	184.6	394.4	0.055	0.0185	0.3368
OG0007454	0.0327	526.9	1612.1	0.0676	0.0025	0.0367
OG0007455	0.0516	156.6	389.4	0.1111	0.0052	0.047
OG0007457	0.0338	116	415	0.001	0.0001	0.0514
OG0007458	0.0872	189.1	524.9	0.3802	0.0203	0.0534
OG0007459	0.0099	273.4	989.6	0.001	0	0.0152
OG0007461	0.0981	260.4	576.6	0.3884	0.022	0.0565
OG0007462	0.049	215.5	597.5	1.1207	0.0168	0.015
OG0007463	0.0095	55.2	283.8	0.001	0	0.0194
OG0007465	0.0429	323.6	756.4	0.6052	0.012	0.0198
OG0007466	0.0484	90.7	227.3	0.57	0.0133	0.0233
OG0007467	0.132	514.9	1393.1	0.5872	0.037	0.063
OG0007470	0.0592	128.4	477.6	0.0542	0.0042	0.0774
OG0007471	0.0854	344.7	888.3	0.2685	0.0162	0.0602
OG0007472	0.2076	95.8	303.2	1.4767	0.075	0.0508
OG0007473	0.0568	410.1	1251.9	0.2997	0.012	0.0401
OG0007474	0.0337	410.6	1176.4	0.0712	0.0026	0.0361
OG0007475	0.0404	237.7	800.3	0.1186	0.005	0.042
OG0007476	0.0948	222.5	563.5	0.8196	0.0298	0.0363
OG0007477	0.1002	203.8	492.2	0.3836	0.0227	0.0592
OG0007478	0.0297	91.8	217.2	0.8236	0.0093	0.0113
OG0007479	0.0564	264.3	917.7	0.162	0.0087	0.0538
OG0007480	0.0645	180.1	464.9	0.1078	0.0065	0.0602
OG0007482	50	90.9	440.1	0.0011	0.1103	96.7866
OG0007483	0.1714	134.9	327.1	0.744	0.0519	0.0698
OG0007484	0.02	330.5	743.5	0.3285	0.0041	0.0125
OG0007485	0.066	181.2	469.8	0.6495	0.0191	0.0294
OG0007486	0.375	131.3	504.7	0.4984	0.1035	0.2077
OG0007487	0.025	245.3	738.7	0.3323	0.0056	0.0167
OG0007488	0.0723	294.5	776.5	0.7797	0.0224	0.0287
OG0007490	0.0283	186.9	587.1	0.2226	0.0051	0.023
OG0007491	0.0399	384.6	884.4	0.001	0	0.0437
OG0007492	0.0974	260.7	903.3	0.0163	0.0022	0.1372
OG0007493	0.1694	115.1	385.9	1.2504	0.0592	0.0473
OG0007494	0.0356	189.4	782.6	0.0231	0.0013	0.0556
OG0007495	0.0642	130.1	400.9	0.3726	0.0151	0.0406
OG0007496	0.112	310	734	0.3814	0.0252	0.0661
OG0007497	0.0402	191.7	543.3	0.0398	0.0018	0.0461
OG0007498	2.4277	61.2	154.8	0.3459	0.5268	1.5232
OG0007499	0.0156	128.1	477.9	0.001	0	0.0245
OG0007500	0.3909	117.2	356.8	0.3497	0.0893	0.2552
OG0007501	0.0126	263.8	978.2	0.1683	0.002	0.0122
OG0007502	0.046	359.7	1260.3	0.1947	0.008	0.0411
OG0007503	0.0374	422.4	1161.6	0.1232	0.0043	0.0349
OG0007504	0.0206	131.2	300.8	0.001	0	0.0225
OG0007505	0.0149	29.8	387.2	0.072	0.0026	0.0358
OG0007506	0.0159	181	437	0.001	0	0.018
OG0007507	0.0617	91.1	352.9	0.3297	0.0145	0.044
OG0007508	0.0177	365	850	0.0705	0.0012	0.0169
OG0007509	0.093	171.2	452.8	0.34	0.0202	0.0595
OG0007511	0.075	157.3	421.7	0.4848	0.0194	0.04
OG0007512	0.0475	381.8	863.2	0.4761	0.0118	0.0249
OG0007513	0.026	203.7	468.3	0.2358	0.0044	0.0185
OG0007514	0.6029	81.3	206.7	0.5994	0.169	0.282
OG0007517	0.0318	344.2	705.8	0.6151	0.0088	0.0143
OG0007518	0.03	114.6	512.4	0.1047	0.0039	0.0373
OG0007519	0.0321	262.6	706.4	0.0953	0.003	0.0314
OG0007520	0.0541	175.8	703.2	0.0172	0.0014	0.0843
OG0007521	0.0412	104.9	198.1	0.53	0.0105	0.0198
OG0007522	0.0635	202.4	520.6	0.336	0.0136	0.0406
OG0007523	0.1028	211.6	550.4	0.1205	0.0113	0.0939
OG0007525	0.0648	183.8	599.2	0.1302	0.0084	0.0646
OG0007526	0.04	216.8	836.2	0.0702	0.0036	0.0509
