OrthoGroup,dNdS,dS,lnL,lnL.null,LRT,p
OG0007272,0.1545,0.019,-5776.414029,-5787.897776,22.967494,5.15E-06
OG0007273,0.0151,15.7697,-2138.575624,-2263.174055,249.196862,3.86E-55
OG0007274,0.001,0.1062,-716.057163,-730.114701,28.115076,3.93E-07
OG0007275,0.1734,0.131,-828.105558,-835.32553,14.439944,0.000365911
OG0007276,0.4229,0,-530.402453,-530.402465,2.40E-05,0.499994
OG0007277,0.2535,0.0819,-783.214445,-786.596914,6.764938,0.016981748
OG0007279,0.001,0.0393,-416.86338,-420.730919,7.735078,0.010454883
OG0007281,0.2958,0.0192,-953.211319,-954.157774,1.89291,0.194057227
OG0007282,0.7899,0.1179,-705.636069,-705.785369,0.2986,0.430655341
OG0007283,0.2458,0.0459,-1069.196777,-1071.485394,4.577234,0.050703305
OG0007284,0.4548,0,-715.529393,-715.529404,2.20E-05,0.4999945
OG0007285,0.9084,0.0181,-1189.088352,-1189.100169,0.023634,0.494126273
OG0007286,0.0753,0.0466,-1151.058446,-1158.806497,15.496102,0.000215791
OG0007288,0.6103,0.074,-1309.240483,-1310.14701,1.813054,0.201962311
OG0007289,0.3981,0.0145,-700.230433,-700.623761,0.786656,0.337403687
OG0007290,0.8731,0.0084,-697.11972,-697.125826,0.012212,0.496956302
OG0007292,0.9965,0.0343,-1251.721613,-1251.721643,6.00E-05,0.499985
OG0007293,0.4051,0.0508,-707.797176,-708.960778,2.327204,0.156179517
OG0007294,1.1132,0.0199,-675.971723,-675.980445,0.017444,0.495657963
OG0007295,0.0102,71.1975,-969.36989,-982.503537,26.267294,9.89E-07
OG0007296,0.001,0.0257,-883.341917,-888.271535,9.859236,0.003614632
OG0007299,0.3149,0.0419,-1118.373452,-1120.903206,5.059508,0.039839309
OG0007300,0.001,0.0175,-508.684159,-510.542929,3.71754,0.077932113
OG0007301,0.4582,0.0825,-2916.966007,-2921.689335,9.446656,0.004442779
OG0007302,0.0304,0.0729,-1613.418427,-1633.719279,40.601704,7.63E-10
OG0007303,0.0565,0.0423,-765.659504,-770.695642,10.072276,0.003249399
OG0007304,0.1146,0.0259,-764.348258,-767.107218,5.51792,0.031678813
OG0007305,0.298,0.059,-1423.480873,-1427.759859,8.557972,0.006928353
OG0007306,0.3213,0.0279,-1046.162644,-1047.5554,2.785512,0.124194899
OG0007307,0.2836,0.03,-755.473592,-756.958446,2.969708,0.113267706
OG0007308,0.3091,0.0344,-724.490445,-725.719119,2.457348,0.146340207
OG0007309,0.5399,0.1961,-543.338403,-544.218037,1.759268,0.207467375
OG0007310,0.255,0.0252,-426.206041,-426.712525,1.012968,0.301305319
OG0007311,0.1008,0.0718,-293.959655,-296.670933,5.422556,0.033225913
OG0007312,0.449,0.0252,-763.16854,-763.77797,1.21886,0.271830334
OG0007313,0.3058,0.0302,-1567.237915,-1569.526964,4.578098,0.050681406
OG0007314,0.001,0.0346,-619.327775,-624.621416,10.587282,0.002511718
OG0007315,0.001,0.0153,-549.005201,-550.837943,3.665484,0.079987158
OG0007316,0.1435,1.6114,-701.188926,-723.871944,45.366036,7.04E-11
OG0007317,0.0484,15.7132,-931.107328,-944.242626,26.270596,9.87E-07
OG0007318,0.0012,91.983,-994.034883,-1079.68246,171.295154,3.18E-38
OG0007319,0.5035,0.1026,-768.001138,-768.994774,1.987272,0.185114046
OG0007320,0.0852,0.0293,-857.631847,-861.603547,7.9434,0.009420688
OG0007321,0.3581,0.0774,-1521.438459,-1525.901715,8.926512,0.005762389
OG0007322,0.7147,0.0224,-935.9722,-936.082318,0.220236,0.447864217
OG0007324,0.6062,0.7023,-494.278309,-495.297395,2.038172,0.180462337
OG0007325,0.1377,0.0325,-901.447717,-904.842901,6.790368,0.016767192
OG0007327,0.001,0.0419,-416.284478,-420.368668,8.16838,0.008418386
OG0007329,0.092,2.1266,-1795.802965,-1881.337918,171.069906,3.56E-38
OG0007330,0.001,0.0685,-784.462194,-795.974885,23.025382,5.00E-06
OG0007331,0.0361,0.085,-647.419238,-656.748023,18.65757,4.44E-05
OG0007332,0.3346,0.0849,-746.247676,-748.970027,5.444702,0.032860032
OG0007333,0.001,0.1124,-478.471904,-488.771786,20.599764,1.68E-05
OG0007334,0.1726,0.0469,-696.061601,-698.720917,5.318632,0.034998041
OG0007335,0.125,0.0439,-1058.878828,-1064.115366,10.473076,0.002659319
OG0007336,0.6786,0.0242,-391.827841,-391.911898,0.168114,0.459689425
OG0007338,0.5152,1.0733,-603.281396,-605.068263,3.573734,0.083742038
OG0007339,0.2697,0.0269,-489.178303,-489.969354,1.582102,0.226684027
OG0007340,2.4042,0.0109,-540.657513,-541.063321,0.811616,0.333219056
OG0007341,0.2071,0.0766,-1293.287295,-1300.428758,14.282926,0.000395797
OG0007342,1.4224,0.0184,-673.805852,-673.94333,0.274956,0.435776762
OG0007343,1.0377,0.0189,-929.285994,-929.287448,0.002908,0.499273528
OG0007344,0.1894,0.0732,-1541.448229,-1548.42959,13.962722,0.000464519
OG0007345,0.425,0.0475,-731.847443,-732.917248,2.13961,0.171537705
OG0007346,0.001,0.0177,-704.24826,-707.454914,6.413308,0.020245936
OG0007347,1.0867,0.0041,-955.986123,-955.983562,-0.005122,#NUM!
OG0007348,0.5628,0.0175,-706.151219,-706.330296,0.358154,0.418020761
OG0007350,0.4882,0.025,-536.883553,-537.248773,0.73044,0.347021972
OG0007351,0.4471,0.0278,-1175.225683,-1176.075261,1.699156,0.21379767
OG0007352,0.3701,0.0924,-1409.924701,-1413.768517,7.687632,0.010705869
OG0007353,0.1755,0.0355,-1443.60378,-1447.47823,7.7489,0.010382878
OG0007354,0.6231,0.0249,-1147.164093,-1147.476334,0.624482,0.365902571
OG0007355,0.001,0.0138,-976.294755,-979.30165,6.01379,0.024722484
OG0007356,0.001,0.0219,-815.632317,-819.359287,7.45394,0.012032822
OG0007357,0.6743,0.084,-1014.536819,-1015.022942,0.972246,0.307503078
OG0007358,0.001,0.0219,-904.311131,-909.465942,10.309622,0.002885785
OG0007359,0.0986,0.0428,-2613.15901,-2626.413189,26.508358,8.77E-07
OG0007360,0.284,0.2197,-1311.484304,-1319.917041,16.865474,0.000108813
OG0007361,0.3681,0.0365,-1473.114228,-1475.192931,4.157406,0.062546176
OG0007362,0.5955,0.0354,-1289.531932,-1290.0866,1.109336,0.287131442
OG0007363,0.0652,0.0618,-1433.155244,-1445.869164,25.42784,1.50E-06
OG0007365,0.3078,0.0301,-1097.114086,-1098.86012,3.492068,0.08723225
OG0007366,0.0919,0.0373,-576.062841,-578.99055,5.855418,0.026759755
OG0007367,0.001,0.087,-770.287305,-785.233163,29.891716,1.61E-07
OG0007368,0.6062,0.1181,-913.895506,-914.826741,1.86247,0.197033369
OG0007369,0.0875,0.0582,-639.262895,-643.346728,8.167666,0.008421392
OG0007370,0.8534,0.0246,-619.013265,-619.036666,0.046802,0.48843534
OG0007371,0.0537,0.0971,-1729.400351,-1752.598878,46.397054,4.21E-11
OG0007373,0.001,0.0087,-856.161412,-858.155743,3.988662,0.068052339
OG0007374,0.1833,0.0558,-731.766205,-734.85479,6.17717,0.022783193
OG0007376,0.0523,0.0666,-1507.589137,-1522.894591,30.610908,1.13E-07
OG0007377,0.0329,19.8778,-1230.423787,-1254.928204,49.008834,1.14E-11
OG0007378,0.113,0.0935,-1025.157846,-1035.457456,20.59922,1.68E-05
OG0007379,0.0252,0.0953,-782.674174,-795.516435,25.684522,1.32E-06
OG0007381,0.3985,0.0672,-1575.911579,-1578.451795,5.080432,0.039424683
OG0007382,0.001,0.1371,-722.987336,-740.405605,34.836538,1.36E-08
OG0007383,0.1456,0.0514,-1151.506383,-1157.831643,12.65052,0.00089525
OG0007384,0.001,0.0365,-756.179708,-762.2995,12.239584,0.001099457
OG0007385,0.6744,0.2745,-725.359429,-726.075715,1.432572,0.244281708
OG0007386,0.6617,0.0665,-498.250229,-498.49453,0.488602,0.39162592
OG0007387,0.0638,0.0288,-1076.177028,-1081.154186,9.954316,0.003446813
OG0007388,0.2217,0.0486,-1392.809273,-1397.685781,9.753016,0.003811795
OG0007389,0.001,0.0428,-1339.98037,-1353.902756,27.844772,4.49E-07
OG0007390,0.0567,0.0507,-639.927297,-645.244856,10.635118,0.002452356
OG0007391,0.3124,0.0222,-892.746451,-893.87329,2.253678,0.16202799
OG0007392,0.001,0.0332,-233.987311,-235.942546,3.91047,0.070765606
OG0007393,0.3466,0.0433,-817.366619,-818.884607,3.035976,0.109576189
OG0007394,0.4501,0.0328,-1038.534573,-1039.575717,2.082288,0.176525281
OG0007395,0.001,0.0249,-1087.731719,-1094.776021,14.088604,0.000436183
OG0007396,0.001,0,-455.851968,-455.852027,0.000118,0.499970501
OG0007397,0.1293,0.0671,-946.587616,-953.327697,13.480162,0.000591276
OG0007398,0.0398,0.0371,-1315.667627,-1324.134195,16.933136,0.000105193
OG0007400,0.9778,0.1102,-717.555587,-717.557412,0.00365,0.499088332
OG0007401,0.0904,0.3499,-729.376677,-745.5225,32.291646,4.86E-08
OG0007402,0.0637,0.0196,-1586.775079,-1591.747368,9.944578,0.003463637
OG0007403,0.5579,0.0286,-1514.980882,-1515.697277,1.43279,0.244255082
OG0007404,0.001,0.034,-1695.247961,-1708.854293,27.212664,6.16E-07
OG0007405,0.0657,0.0301,-954.72276,-959.077299,8.709078,0.006424181
OG0007406,0.095,0.0329,-581.561135,-583.942368,4.762466,0.046218266
OG0007407,0.422,0.0275,-488.463586,-488.855359,0.783546,0.337928758
OG0007408,0.0764,0.0511,-447.164145,-449.818675,5.30906,0.035165943
OG0007411,0.0972,0.0311,-605.835273,-608.125213,4.57988,0.050636269
OG0007412,0.6111,0.0217,-827.268517,-827.519503,0.501972,0.389016632
OG0007413,0.6984,0.0275,-1370.215075,-1370.473731,0.517312,0.386044288
OG0007414,0.4068,0.0089,-3826.325953,-3827.669914,2.687922,0.130405275
OG0007415,0.0432,5.8251,-762.001266,-811.45717,98.911808,1.66E-22
OG0007416,0.1917,0.0268,-772.759656,-774.663701,3.80809,0.074482418
OG0007417,0.4307,0.0396,-686.943412,-687.684614,1.482404,0.238270385
OG0007418,0.1886,0.0372,-2226.809055,-2233.795455,13.9728,0.000462184
OG0007419,0.437,0.0324,-2248.259694,-2250.541392,4.563396,0.051055338
OG0007420,0.001,0.0182,-1517.713741,-1524.807307,14.187132,0.000415215
OG0007421,0.4028,0.0669,-1813.945729,-1817.254572,6.617686,0.018279224
OG0007423,0.235,0.0348,-1497.640722,-1500.916429,6.551414,0.018895071
OG0007424,0.5687,0.0443,-877.125543,-877.650602,1.050118,0.295760232
OG0007425,0.7494,0.5134,-642.365298,-642.858986,0.987376,0.305185595
OG0007426,1.1209,0.0032,-1595.938079,-1595.942976,0.009794,0.497557485
OG0007427,0.3269,0.0469,-1272.822152,-1275.433318,5.222332,0.036724426
OG0007428,0.3227,1.4717,-921.660218,-927.336727,11.353018,0.001712748
OG0007429,0.5191,0.0266,-1958.355439,-1959.252198,1.793518,0.203944745
OG0007430,0.058,0.0441,-766.029808,-771.059995,10.060374,0.003268794
OG0007432,0.2853,0.0541,-852.992908,-855.061549,4.137282,0.063178692
OG0007433,0.001,0.0355,-763.096654,-769.300724,12.40814,0.001010594
OG0007434,0.066,0.0631,-2634.496811,-2655.261897,41.530172,4.80E-10
OG0007435,0.6843,0.0239,-722.654402,-722.780237,0.25167,0.440880163
OG0007436,0.7131,0.0644,-636.819148,-636.938976,0.239656,0.4435365
OG0007437,0.001,0.0354,-788.672157,-795.117367,12.89042,0.000794056
OG0007438,0.5306,0.1301,-853.023649,-854.389208,2.731118,0.127618979
OG0007439,0.001,0.0359,-422.224295,-426.523945,8.5993,0.006786654
